model,lang,sentence,mean_mass,mean_mass_excl_self,prec@1,prec@3
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
roberta-base,en,I love NLP and representation learning.,0.09792522900655361,0.0913234694055518,0.0853174603174603,0.2881944444444444
roberta-base,en,"John, who loves math, solved the problem quickly.",0.0646378016673326,0.06354271500175754,0.05555555555555555,0.2525252525252525
roberta-base,en,The quick brown fox jumps over the lazy dog.,0.0732525828870065,0.06976586765538034,0.061111111111111116,0.2666666666666667
